time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,mean_f
72, 3920, 1.126786, 0.000000, 0.614541, 0.003232, 0.463010,0.519898,0.001047,0.002186,-0.479202,-0.640750,0.000000
73, 2285, 2.008753, 0.000000, 1.515536, 0.006668, 0.068709,0.541357,0.001776,0.004892,-0.506920,-0.651220,0.000000
74, 2210, 2.950679, 0.000000, 1.562896, 0.002954, 0.077376,0.033032,0.000293,0.002661,-0.476572,-0.626022,0.000000
75, 2261, 3.646174, 0.000000, 1.481203, 0.004509, 0.923485,0.046882,0.000193,0.004315,-0.486041,-0.626241,0.000000
76, 3281, 1.102408, 0.000000, 0.432490, 0.003204, 0.623590,0.359646,0.000266,0.002938,-0.476594,-0.638513,0.000000
77, 1353, 2.010347, 0.000000, 1.467110, 0.010239, 0.083518,0.504804,0.005618,0.004620,-0.486504,-0.655959,0.000000
78, 1306, 2.923430, 0.000000, 1.516845, 0.006072, 0.089587,0.042879,0.005493,0.000579,-0.454184,-0.640919,0.000000
79, 1309, 3.663866, 0.000000, 1.451490, 0.001711, 0.935065,0.027502,0.001711,0.000000,-0.472382,-0.647931,0.000000
80, 1879, 1.093667, 0.000000, 1.028206, 0.006453, 0.026610,0.962746,0.002775,0.003678,-0.473098,-0.646056,0.000000
81, 1896, 2.002110, 0.000000, 1.773734, 0.014495, 0.026899,0.791667,0.005263,0.009232,-0.478177,-0.643373,0.000000
82, 1889, 2.935945, 0.000000, 1.786130, 0.011768, 0.022234,0.040762,0.001827,0.009941,-0.478594,-0.642374,0.000000
83, 1905, 3.845669, 0.000000, 1.780052, 0.006943, 0.934383,0.042520,0.001636,0.005307,-0.480624,-0.650891,0.000000
84, 3321, 1.075881, 0.000000, 0.816019, 0.003301, 0.229449,0.760012,0.000667,0.002634,-0.473675,-0.659941,0.000000
85, 2656, 2.000000, 0.000000, 1.579066, 0.006096, 0.022967,0.594880,0.002753,0.003343,-0.485282,-0.652497,0.000000
86, 2659, 2.942083, 0.000000, 1.582926, 0.006174, 0.030839,0.028958,0.000947,0.005227,-0.477025,-0.643383,0.000000
87, 2657, 3.862251, 0.000000, 1.579601, 0.003694, 0.949944,0.027475,0.000839,0.002854,-0.481289,-0.649314,0.000000
88, 4131, 1.068991, 0.000000, 0.555071, 0.002695, 0.485113,0.506899,0.001570,0.001125,-0.476664,-0.656754,0.000000
89, 2239, 1.992407, 0.000000, 1.540866, 0.004400, 0.040643,0.565431,0.002530,0.001870,-0.486973,-0.678594,0.000000
90, 2208, 2.939312, 0.000000, 1.555254, 0.001651, 0.038949,0.020833,0.000897,0.000754,-0.472609,-0.670112,0.000000
91, 2202, 3.854678, 0.000000, 1.549046, 0.001985, 0.954587,0.022252,0.000215,0.001770,-0.477032,-0.682634,0.000000
92, 3377, 1.064258, 0.000000, 0.389103, 0.001141, 0.646728,0.346461,0.000393,0.000748,-0.477388,-0.682690,0.000000
93, 1286, 1.972784, 0.000000, 1.477449, 0.005484, 0.066874,0.524883,0.001790,0.003695,-0.491780,-0.696400,0.000000
94, 1234, 2.952188, 0.000000, 1.545381, 0.005915, 0.038898,0.031605,0.002782,0.003133,-0.460585,-0.684733,0.000000
95, 1246, 3.805778, 0.000000, 1.513644, 0.004474, 0.951043,0.028090,0.001845,0.002629,-0.462489,-0.688732,0.000000
96, 1862, 1.064447, 0.000000, 1.018260, 0.005570, 0.020408,0.970999,0.003803,0.001768,-0.458926,-0.692428,0.000000
97, 1873, 2.004271, 0.000000, 1.799253, 0.013600, 0.019221,0.809397,0.008608,0.004993,-0.457238,-0.684866,0.000000
98, 1880, 2.939894, 0.000000, 1.802660, 0.013409, 0.022340,0.039894,0.008137,0.005272,-0.458878,-0.681088,0.000000
99, 1890, 3.864021, 0.000000, 1.797354, 0.008415, 0.946561,0.040212,0.005311,0.003104,-0.458125,-0.686417,0.000000
100, 3343, 1.056835, 0.000000, 0.795393, 0.006635, 0.242297,0.750224,0.004295,0.002340,-0.456263,-0.687588,0.000000
101, 2598, 2.008083, 0.000000, 1.582371, 0.004788, 0.023480,0.588915,0.002280,0.002508,-0.465264,-0.673593,0.000000
102, 2595, 2.952987, 0.000000, 1.579191, 0.002179, 0.024277,0.020039,0.000954,0.001225,-0.465382,-0.678941,0.000000
103, 2600, 3.885000, 0.000000, 1.578462, 0.005593, 0.960769,0.025769,0.003784,0.001809,-0.464505,-0.678556,0.000000
104, 4068, 1.048673, 0.000000, 0.540560, 0.004971, 0.486971,0.505408,0.003639,0.001333,-0.461819,-0.674392,0.000000
105, 2156, 2.007885, 0.000000, 1.544063, 0.007622, 0.037106,0.555195,0.004094,0.003528,-0.463967,-0.651051,0.000000
106, 2130, 2.954930, 0.000000, 1.545540, 0.003481, 0.038028,0.010798,0.001135,0.002346,-0.454430,-0.646287,0.000000
107, 2117, 3.885215, 0.000000, 1.545583, 0.003727, 0.971186,0.019367,0.002728,0.000999,-0.455885,-0.656094,0.000000
108, 3265, 1.033078, 0.000000, 0.390199, 0.003431, 0.627871,0.365697,0.001697,0.001734,-0.457691,-0.657476,0.000000
109, 1260, 2.003175, 0.000000, 1.519841, 0.010370, 0.038889,0.536508,0.003898,0.006472,-0.456167,-0.606956,0.000000
110, 1240, 2.970161, 0.000000, 1.533065, 0.003086, 0.042742,0.009677,0.001319,0.001767,-0.452382,-0.611243,0.000000
111, 1241, 3.850121, 0.000000, 1.514102, 0.003129, 0.970991,0.020951,0.001517,0.001612,-0.454351,-0.606948,0.000000
112, 1874, 1.032551, 0.000000, 1.005870, 0.005580, 0.016009,0.982391,0.002438,0.003142,-0.451846,-0.596833,0.000000
113, 1877, 1.997869, 0.000000, 1.782099, 0.012575, 0.010655,0.787960,0.007487,0.005088,-0.443727,-0.593276,0.000000
114, 1869, 2.981808, 0.000000, 1.794543, 0.007482, 0.016051,0.019262,0.005584,0.001898,-0.447591,-0.595992,0.000000
115, 1890, 3.897354, 0.000000, 1.773016, 0.005149, 0.962434,0.028571,0.002338,0.002811,-0.446343,-0.595472,0.000000
116, 3336, 1.035372, 0.000000, 0.788969, 0.005438, 0.234412,0.760192,0.001971,0.003467,-0.451141,-0.598743,0.000000
117, 2602, 2.001537, 0.000000, 1.604919, 0.005582, 0.012298,0.612990,0.002461,0.003121,-0.446613,-0.611339,0.000000
118, 2597, 2.979977, 0.000000, 1.611475, 0.003350, 0.018483,0.015402,0.002148,0.001202,-0.446165,-0.613054,0.000000
119, 2610, 3.905747, 0.000000, 1.599234, 0.002514, 0.970115,0.019157,0.001201,0.001313,-0.446988,-0.614379,0.000000
120, 4147, 1.035447, 0.000000, 0.535327, 0.001484, 0.486135,0.509525,0.000112,0.001372,-0.452518,-0.618490,0.000000
121, 2186, 2.003660, 0.000000, 1.572278, 0.003956, 0.020586,0.580055,0.000915,0.003041,-0.454431,-0.610495,0.000000
122, 2173, 2.972849, 0.000000, 1.580764, 0.004523, 0.026231,0.013346,0.001381,0.003143,-0.457953,-0.611163,0.000000
123, 2186, 3.882891, 0.000000, 1.561299, 0.006056, 0.969808,0.019213,0.003045,0.003010,-0.455657,-0.618898,0.000000
124, 3395, 1.036524, 0.000000, 0.369072, 0.003504, 0.654492,0.343446,0.003066,0.000438,-0.464672,-0.619981,0.000000
125, 1222, 1.992635, 0.000000, 1.515548, 0.007398, 0.030278,0.535188,0.004408,0.002990,-0.462386,-0.613416,0.000000
126, 1207, 2.968517, 0.000000, 1.532726, 0.006095, 0.037283,0.011599,0.002934,0.003161,-0.463616,-0.613351,0.000000
127, 1224, 3.821078, 0.000000, 1.482843, 0.004542, 0.966503,0.013072,0.001235,0.003306,-0.462666,-0.623900,0.000000
128, 1813, 1.049090, 0.000000, 1.007722, 0.003511, 0.018753,0.980143,0.001912,0.001599,-0.464655,-0.629319,0.000000
129, 1815, 1.992287, 0.000000, 1.781267, 0.012169, 0.008815,0.794490,0.005722,0.006446,-0.463365,-0.626641,0.000000
130, 1821, 2.963756, 0.000000, 1.790225, 0.018883, 0.020319,0.024712,0.009607,0.009276,-0.462899,-0.625574,0.000000
131, 1810, 3.933149, 0.000000, 1.787845, 0.007690, 0.978453,0.020442,0.004154,0.003536,-0.466886,-0.632760,0.000000
132, 3217, 1.021138, 0.000000, 0.802300, 0.001724, 0.209201,0.785204,0.001003,0.000721,-0.470284,-0.634296,0.000000
133, 2573, 2.001555, 0.000000, 1.609017, 0.004824, 0.010882,0.614846,0.002244,0.002581,-0.467797,-0.624834,0.000000
134, 2566, 2.985191, 0.000000, 1.611847, 0.002037, 0.011302,0.009353,0.000868,0.001169,-0.467008,-0.622142,0.000000
135, 2572, 3.944401, 0.000000, 1.608476, 0.003844, 0.984059,0.011275,0.003066,0.000778,-0.464967,-0.623541,0.000000
136, 4121, 1.018685, 0.000000, 0.537734, 0.000736, 0.473671,0.523659,0.000596,0.000140,-0.462136,-0.618400,0.000000
137, 2204, 2.000000, 0.000000, 1.570780, 0.004685, 0.012704,0.576679,0.002824,0.001861,-0.453273,-0.591624,0.000000
138, 2192, 2.985858, 0.000000, 1.578467, 0.002657, 0.014142,0.008212,0.001288,0.001369,-0.457489,-0.592552,0.000000
139, 2208, 3.923460, 0.000000, 1.555707, 0.003203, 0.986413,0.006341,0.001485,0.001718,-0.455703,-0.592223,0.000000
140, 3427, 1.019259, 0.000000, 0.339947, 0.002426, 0.670266,0.327692,0.001223,0.001203,-0.458378,-0.603033,0.000000
141, 1165, 1.984549, 0.000000, 1.557940, 0.004931, 0.022318,0.581974,0.003214,0.001717,-0.462158,-0.587526,0.000000
142, 1158, 2.962867, 0.000000, 1.571675, 0.006648, 0.018998,0.011226,0.004082,0.002567,-0.457685,-0.573328,0.000000
143, 1156, 3.925606, 0.000000, 1.571799, 0.004358, 0.980104,0.009516,0.001759,0.002599,-0.462368,-0.575403,0.000000
144, 1814, 1.030320, 0.000000, 1.000551, 0.005664, 0.017089,0.981808,0.001244,0.004420,-0.451395,-0.582921,0.000000
145, 1816, 1.987885, 0.000000, 1.792952, 0.012304, 0.011564,0.807269,0.002199,0.010105,-0.451778,-0.578725,0.000000
146, 1812, 2.966887, 0.000000, 1.798013, 0.007741, 0.011038,0.019316,0.002627,0.005114,-0.451015,-0.583698,0.000000
147, 1807, 3.953514, 0.000000, 1.802435, 0.005292, 0.978417,0.012728,0.004739,0.000553,-0.448514,-0.591193,0.000000
