"V3","V4","V102","V103","V104","V105"
110,26,2.953717,3.64195,2.740683,-1.669968
119,52,3.656931,3.415243,1.796645,-0.534507
124,46,4.697058,2.226325,1.593276,-0.39535
126,62,4.272489,3.083054,2.187468,-0.809419
123,118,1.957747,2.518302,1.519453,-1.320634
117,112,0.740765,2.994074,-0.285921,0.181365
101,90,3.971624,2.657554,1.372656,-0.294018
66,121,2.103007,3.009335,2.430277,-1.968446
73,127,2.389031,1.579558,2.52687,-2.538311
87,63,3.280891,3.406524,2.608863,-1.502038
101,57,2.766071,4.360962,2.041837,-0.751895
102,57,3.289137,4.429268,1.983868,-0.453028
109,64,2.919984,3.623193,2.328162,-1.279804
111,69,2.424105,3.470111,2.224554,-1.442361
105,60,2.323872,4.344714,2.341686,-1.24002
76,122,3.717368,3.272376,2.93563,-1.704356
64,122,4.824451,1.104316,1.514716,-0.728548
44,11,2.845731,4.72194,-1.473336,2.939225
84,67,3.278829,3.322224,2.32057,-1.249499
46,85,3.943888,4.150963,-1.027475,2.707206
13,0,3.087021,3.798073,-1.40266,2.586158
49,89,1.966347,2.468089,-1.485197,1.6628
124,17,5.00431,3.188834,3.16822,-1.445929
50,22,5.436119,4.917268,-2.241099,4.845219
115,17,2.652383,3.118509,0.911016,-0.182027
89,7,3.143761,2.458428,2.404882,-1.745348
119,55,2.695992,2.980555,1.821622,-1.130726
113,55,4.302298,3.113155,2.011397,-0.60929
111,27,3.76794,3.649281,3.061818,-1.655939
67,47,2.605748,1.786903,-0.57892,0.738173
63,52,3.041686,3.127719,-0.929202,1.81869
61,35,3.567486,5.628371,-0.207386,2.343957
69,50,2.446109,4.700661,-2.413401,3.706939
64,46,2.447727,2.913834,-2.511234,3.068345
115,25,2.518732,2.243998,1.147963,-0.834597
119,18,2.670585,2.862884,1.665419,-1.034086
13,32,4.262484,4.707832,-0.522483,2.562255
14,29,3.056452,3.008656,-0.172966,1.020079
71,125,4.521063,3.360336,2.631252,-1.035789
20,82,5.509128,5.472224,-2.167525,5.031278
81,75,3.728657,3.405696,2.656884,-1.367871
90,74,2.385899,3.093509,2.488184,-1.87717
86,78,4.349953,2.368177,2.272536,-1.157198
49,70,3.085655,4.34709,-0.59293,2.002835
112,117,4.683906,2.52951,2.046606,-0.728215
94,125,3.784115,3.537608,2.325063,-0.958391
89,123,4.644523,1.554538,1.82116,-0.920762
8,15,2.018032,3.142393,-0.447817,0.925018
89,53,3.530081,2.616026,2.02544,-1.143848
102,51,2.712527,3.034865,2.69296,-1.97188
104,38,4.693152,2.651216,2.490922,-1.119102
26,13,4.052291,2.742063,-1.861217,3.00256
34,20,3.173296,4.406679,-1.55069,3.019926
35,9,3.517282,3.564639,-2.84113,4.102032
91,57,3.363854,4.110499,3.189195,-1.758011
103,47,2.253834,3.200672,1.710185,-1.109495
99,52,2.185101,4.912319,2.626441,-1.346185
70,126,3.811376,2.293624,1.364527,-0.500533
77,120,3.722442,3.127662,1.731633,-0.559678
93,17,2.300897,2.181776,1.512473,-1.312676
84,16,4.057841,2.636135,2.880927,-1.774744
113,70,2.834734,4.827651,2.422243,-0.912599
117,74,2.930959,2.011824,1.915765,-1.528214
22,98,2.820762,5.157925,-2.683509,4.31859
23,101,4.386571,4.574546,-1.59426,3.629023
21,87,3.865779,3.32788,-0.889106,2.198506
62,116,4.301483,2.20174,1.497391,-0.47116
49,55,2.304802,3.49786,-0.034506,0.777395
69,121,2.68757,4.576781,1.481607,-0.135852
75,126,4.481123,3.003461,2.69942,-1.268556
73,125,4.449164,3.428901,2.3658,-0.771786
114,41,3.122657,4.020743,2.221565,-0.926452
124,24,4.32873,1.830862,1.413405,-0.529322
123,24,4.04401,3.29274,3.142306,-1.770611
105,62,2.726159,4.229299,1.844552,-0.62689
65,121,3.48749,2.740369,2.215426,-1.298698
62,122,3.819425,3.358774,2.122263,-0.815103
67,122,3.949456,2.645304,1.252477,-0.18765
74,123,3.496245,3.907992,2.41662,-1.014653
119,28,3.468941,1.053961,0.52336,-0.312704
114,53,3.389248,4.960908,2.05769,-0.265388
45,50,3.182823,2.950755,-1.302703,2.176854
4,10,4.657985,3.695308,-1.314269,3.097883
89,48,3.918317,1.948659,1.165173,-0.401679
88,50,3.174784,2.7733,0.811959,-0.012395
16,55,3.798953,2.955268,-0.648023,1.77666
105,73,4.646272,1.435222,1.415497,-0.566003
115,80,4.000552,2.734913,1.709161,-0.586221
95,20,4.051338,3.628651,2.535713,-1.022686
106,27,4.967891,1.917907,2.83784,-1.655844
112,20,3.212023,2.66765,2.883941,-2.11033
30,8,2.93325,2.395013,-0.801292,1.344412
31,8,3.36633,4.10162,-0.278937,1.703849
21,9,3.924516,3.540538,-1.664233,3.084201
70,122,3.673349,1.880925,1.107532,-0.471116
22,4,4.138694,3.784568,-1.717467,3.325103
63,121,4.238653,4.258669,2.62411,-0.773607
0,61,1.514061,3.826888,-0.522674,1.076645
122,55,3.96217,3.766485,2.753764,-1.219415
117,53,4.816255,2.70938,2.409754,-0.962872
117,56,3.0648,2.775309,1.809103,-1.052268
120,20,1.593285,2.140984,2.668208,-2.773187
65,127,3.65319,4.616197,2.489632,-0.731787
83,62,2.911672,3.333384,2.847317,-1.921803
37,6,2.486669,3.874611,-1.574751,2.544445
98,22,3.278111,2.023868,2.554274,-2.019212
90,7,3.787659,4.545895,3.687402,-1.902318
97,19,3.599374,3.795758,2.589784,-1.193244
27,76,3.318083,2.926186,-0.668192,1.587451
121,21,3.339164,3.882551,2.161115,-0.835237
127,25,4.70537,3.223374,2.105982,-0.493581
123,25,5.073259,3.048241,3.106129,-1.415031
115,31,5.073259,3.048241,3.106129,-1.415031
97,36,2.574863,3.386015,1.863179,-1.055136
79,16,3.819316,3.022375,2.353862,-1.185958
82,2,3.161584,2.948012,1.182725,-0.315227
83,7,4.154665,4.249266,3.217519,-1.404717
42,61,4.543988,5.149109,-1.12355,3.460858
35,60,2.593121,3.719966,-0.395122,1.346188
101,13,3.26727,3.674258,2.743769,-1.531464
102,8,3.866035,3.176847,2.806731,-1.554949
51,2,4.566737,4.843939,-1.904173,4.123071
73,42,1.419836,3.498315,0.60475,-0.223811
43,74,3.014267,3.402211,-0.897425,1.889303
62,127,3.725758,3.70926,2.111364,-0.697562
97,115,3.849758,1.912999,2.654285,-1.930579
93,108,5.373388,1.904165,2.605923,-1.263704
61,14,1.545759,4.883287,-1.794906,2.79575
110,37,3.518427,4.598613,2.37312,-0.677653
38,6,3.034898,3.857661,-1.141922,2.328828
98,17,4.569931,2.473924,2.360853,-1.112499
96,15,3.949736,3.046431,2.212514,-0.981442
115,46,3.388776,4.236002,2.153883,-0.662069
80,14,3.455531,1.790967,2.397832,-1.886283
122,43,2.368535,2.134581,2.125893,-1.917422
119,36,3.090367,2.813269,2.016709,-1.233317
117,33,3.749033,3.370335,2.920552,-1.637373
122,57,3.439466,2.63178,0.402425,0.447091
119,38,2.701188,4.753015,1.704106,-0.28089
84,126,3.170233,4.226602,2.992833,-1.591874
84,125,2.334489,2.955839,2.354746,-1.819751
90,119,2.379383,3.140038,2.903028,-2.273253
77,58,2.995229,5.148178,-0.966423,2.66953
112,28,4.200007,2.915696,2.003431,-0.72482
74,113,3.658449,3.811001,2.913523,-1.48438
14,31,3.726789,3.370779,-0.399733,1.669295
115,18,4.407472,2.847195,3.142499,-1.806179
117,65,4.479865,3.143574,2.559423,-1.071142
